¬	mgbagha
👉🏿	backhand, finger, hand, index, point, àzụaka na-arụ aka akanri, àzụaka na-arụ aka akanri: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👆️	aka, mkpịsịaka, na-arụ, n’elu, àzụaka, àzụaka na-arụ aka n’elu
👆🏻	aka, mkpịsịaka, na-arụ, n’elu, àzụaka, àzụaka na-arụ aka n’elu: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👆🏼	aka, mkpịsịaka, na-arụ, n’elu, àzụaka, àzụaka na-arụ aka n’elu: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👆🏽	aka, mkpịsịaka, na-arụ, n’elu, àzụaka, àzụaka na-arụ aka n’elu: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👆🏾	aka, mkpịsịaka, na-arụ, n’elu, àzụaka, àzụaka na-arụ aka n’elu: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👆🏿	aka, mkpịsịaka, na-arụ, n’elu, àzụaka, àzụaka na-arụ aka n’elu: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
🖕	aka, mkpịsịaka, mkpịsịaka etiti
🖕🏻	aka, mkpịsịaka, mkpịsịaka etiti, mkpịsịaka etiti: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🖕🏼	aka, mkpịsịaka, mkpịsịaka etiti, mkpịsịaka etiti: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🖕🏽	aka, mkpịsịaka, mkpịsịaka etiti, mkpịsịaka etiti: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🖕🏾	aka, mkpịsịaka, mkpịsịaka etiti, mkpịsịaka etiti: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🖕🏿	aka, mkpịsịaka, mkpịsịaka etiti, mkpịsịaka etiti: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👇️	aka, ala, mkpịsịaka, na-arụ, àzụaka, àzụaka na-arụ aka n’ala
👇🏻	aka, ala, mkpịsịaka, na-arụ, àzụaka, àzụaka na-arụ aka n’ala, àzụaka na-arụ aka n’ala: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👇🏼	aka, ala, mkpịsịaka, na-arụ, àzụaka, àzụaka na-arụ aka n’ala, àzụaka na-arụ aka n’ala: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👇🏽	aka, ala, mkpịsịaka, na-arụ, àzụaka, àzụaka na-arụ aka n’ala, àzụaka na-arụ aka n’ala: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👇🏾	aka, ala, mkpịsịaka, na-arụ, àzụaka, àzụaka na-arụ aka n’ala, àzụaka na-arụ aka n’ala: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👇🏿	aka, ala, mkpịsịaka, na-arụ, àzụaka, àzụaka na-arụ aka n’ala, àzụaka na-arụ aka n’ala: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
☝️	aka, mkpịsịaka, na-arụ, na-arụ aka n’elu, n’elu
☝🏻	aka, mkpịsịaka, na-arụ, na-arụ aka n’elu: ọtanjele ahụ maka ọcha, n’elu, ọtanjele ahụ maka ọcha
☝🏼	aka, mkpịsịaka, na-arụ, na-arụ aka n’elu: ọtanjele ahụ maka ọcha-ndịna etiti, n’elu, ọtanjele ahụ maka ọcha-ndịna etiti
☝🏽	aka, mkpịsịaka, na-arụ, na-arụ aka n’elu: ọtanjele ahụ ndịna etiti, n’elu, ọtanjele ahụ ndịna etiti
☝🏾	aka, mkpịsịaka, na-arụ, na-arụ aka n’elu: ọtanjele ahụ maka òji-ndịna etiti, n’elu, ọtanjele ahụ maka òji-ndịna etiti
☝🏿	aka, mkpịsịaka, na-arụ, na-arụ aka n’elu: ọtanjele ahụ maka òji, n’elu, ọtanjele ahụ maka òji
👍️	+1, aka, elu, oboaka, oboaka n’elu
👍🏻	+1, aka, elu, oboaka, oboaka n’elu, oboaka n’elu: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👍🏼	+1, aka, elu, oboaka, oboaka n’elu, oboaka n’elu: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👍🏽	+1, aka, elu, oboaka, oboaka n’elu, oboaka n’elu: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👍🏾	+1, aka, elu, oboaka, oboaka n’elu, oboaka n’elu: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👍🏿	+1, aka, elu, oboaka, oboaka n’elu, oboaka n’elu: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👎️	-1, aka, ala, oboaka, oboaka n’ala
👎🏻	-1, aka, ala, oboaka, oboaka n’ala, oboaka n’ala: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👎🏼	-1, aka, ala, oboaka, oboaka n’ala, oboaka n’ala: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👎🏽	-1, aka, ala, oboaka, oboaka n’ala, oboaka n’ala: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👎🏾	-1, aka, ala, oboaka, oboaka n’ala, oboaka n’ala: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👎🏿	-1, aka, ala, oboaka, oboaka n’ala, oboaka n’ala: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
✊	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, ịkụ ọkpọ, ọkpọaka
✊🏻	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, aka ọkpọ ewelitere: ọtanjele ahụ maka ọcha, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka ọcha
✊🏼	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, aka ọkpọ ewelitere: ọtanjele ahụ maka ọcha-ndịna etiti, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka ọcha-ndịna etiti
✊🏽	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, aka ọkpọ ewelitere: ọtanjele ahụ ndịna etiti, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ ndịna etiti
✊🏾	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, aka ọkpọ ewelitere: ọtanjele ahụ maka òji-ndịna etiti, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka òji-ndịna etiti
✊🏿	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ ewelitere, aka ọkpọ ewelitere: ọtanjele ahụ maka òji, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka òji
👊	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, ịkụ ọkpọ, ọkpọaka
👊🏻	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, aka ọkpọ na-abịa abịa: ọtanjele ahụ maka ọcha, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka ọcha
👊🏼	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, aka ọkpọ na-abịa abịa: ọtanjele ahụ maka ọcha-ndịna etiti, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka ọcha-ndịna etiti
👊🏽	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, aka ọkpọ na-abịa abịa: ọtanjele ahụ ndịna etiti, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ ndịna etiti
👊🏾	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, aka ọkpọ na-abịa abịa: ọtanjele ahụ maka òji-ndịna etiti, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka òji-ndịna etiti
👊🏿	aka, aka afụ̀rụ̀ afụ̀, aka ọkpọ na-abịa abịa, aka ọkpọ na-abịa abịa: ọtanjele ahụ maka òji, ịkụ ọkpọ, ọkpọaka, ọtanjele ahụ maka òji
🤛	aka ọkpọ, aka ọkpọ chewere-akaèkpè, gara akaèkpè
🤛🏻	aka ọkpọ, aka ọkpọ chewere-akaèkpè, aka ọkpọ chewere-akaèkpè: ọtanjele ahụ maka ọcha, gara akaèkpè, ọtanjele ahụ maka ọcha
🤛🏼	aka ọkpọ, aka ọkpọ chewere-akaèkpè, aka ọkpọ chewere-akaèkpè: ọtanjele ahụ maka ọcha-ndịna etiti, gara akaèkpè, ọtanjele ahụ maka ọcha-ndịna etiti
🤛🏽	aka ọkpọ, aka ọkpọ chewere-akaèkpè, aka ọkpọ chewere-akaèkpè: ọtanjele ahụ ndịna etiti, gara akaèkpè, ọtanjele ahụ ndịna etiti
🤛🏾	aka ọkpọ, aka ọkpọ chewere-akaèkpè, aka ọkpọ chewere-akaèkpè: ọtanjele ahụ maka òji-ndịna etiti, gara akaèkpè, ọtanjele ahụ maka òji-ndịna etiti
🤛🏿	aka ọkpọ, aka ọkpọ chewere-akaèkpè, aka ọkpọ chewere-akaèkpè: ọtanjele ahụ maka òji, gara akaèkpè, ọtanjele ahụ maka òji
🤜	aka ọkpọ, aka ọkpọ chewere-akanri, gara akanri
🤜🏻	aka ọkpọ, aka ọkpọ chewere-akanri, aka ọkpọ chewere-akanri: ọtanjele ahụ maka ọcha, gara akanri, ọtanjele ahụ maka ọcha
🤜🏼	aka ọkpọ, aka ọkpọ chewere-akanri, aka ọkpọ chewere-akanri: ọtanjele ahụ maka ọcha-ndịna etiti, gara akanri, ọtanjele ahụ maka ọcha-ndịna etiti
🤜🏽	aka ọkpọ, aka ọkpọ chewere-akanri, aka ọkpọ chewere-akanri: ọtanjele ahụ ndịna etiti, gara akanri, ọtanjele ahụ ndịna etiti
🤜🏾	aka ọkpọ, aka ọkpọ chewere-akanri, aka ọkpọ chewere-akanri: ọtanjele ahụ maka òji-ndịna etiti, gara akanri, ọtanjele ahụ maka òji-ndịna etiti
🤜🏿	aka ọkpọ, aka ọkpọ chewere-akanri, aka ọkpọ chewere-akanri: ọtanjele ahụ maka òji, gara akanri, ọtanjele ahụ maka òji
👏	aka, kụọ, na-akụ aka
👏🏻	aka, kụọ, na-akụ aka, na-akụ aka: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
👏🏼	aka, kụọ, na-akụ aka, na-akụ aka: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👏🏽	aka, kụọ, na-akụ aka, na-akụ aka: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
👏🏾	aka, kụọ, na-akụ aka, na-akụ aka: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👏🏿	aka, kụọ, na-akụ aka, na-akụ aka: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
🙌	aka, aka ndị eweliri elu, huree, ogbugbu, welitere, ènwemụaṅụrị
🙌🏻	aka, aka ndị eweliri elu, aka ndị eweliri elu: ọtanjele ahụ maka ọcha, huree, ogbugbu, welitere, ènwemụaṅụrị, ọtanjele ahụ maka ọcha
🙌🏼	aka, aka ndị eweliri elu, aka ndị eweliri elu: ọtanjele ahụ maka ọcha-ndịna etiti, huree, ogbugbu, welitere, ènwemụaṅụrị, ọtanjele ahụ maka ọcha-ndịna etiti
🙌🏽	aka, aka ndị eweliri elu, aka ndị eweliri elu: ọtanjele ahụ ndịna etiti, huree, ogbugbu, welitere, ènwemụaṅụrị, ọtanjele ahụ ndịna etiti
🙌🏾	aka, aka ndị eweliri elu, aka ndị eweliri elu: ọtanjele ahụ maka òji-ndịna etiti, huree, ogbugbu, welitere, ènwemụaṅụrị, ọtanjele ahụ maka òji-ndịna etiti
🙌🏿	aka, aka ndị eweliri elu, aka ndị eweliri elu: ọtanjele ahụ maka òji, huree, ogbugbu, welitere, ènwemụaṅụrị, ọtanjele ahụ maka òji
👐	aka, aka mepere emepe, mmepe
👐🏻	aka, aka mepere emepe, aka mepere emepe: ọtanjele ahụ maka ọcha, mmepe, ọtanjele ahụ maka ọcha
👐🏼	aka, aka mepere emepe, aka mepere emepe: ọtanjele ahụ maka ọcha-ndịna etiti, mmepe, ọtanjele ahụ maka ọcha-ndịna etiti
👐🏽	aka, aka mepere emepe, aka mepere emepe: ọtanjele ahụ ndịna etiti, mmepe, ọtanjele ahụ ndịna etiti
👐🏾	aka, aka mepere emepe, aka mepere emepe: ọtanjele ahụ maka òji-ndịna etiti, mmepe, ọtanjele ahụ maka òji-ndịna etiti
👐🏿	aka, aka mepere emepe, aka mepere emepe: ọtanjele ahụ maka òji, mmepe, ọtanjele ahụ maka òji
🤲	ekpere, nchịkọta aka abụọ ọnụ
🤲🏻	ekpere, nchịkọta aka abụọ ọnụ, nchịkọta aka abụọ ọnụ: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🤲🏼	ekpere, nchịkọta aka abụọ ọnụ, nchịkọta aka abụọ ọnụ: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🤲🏽	ekpere, nchịkọta aka abụọ ọnụ, nchịkọta aka abụọ ọnụ: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🤲🏾	ekpere, nchịkọta aka abụọ ọnụ, nchịkọta aka abụọ ọnụ: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🤲🏿	ekpere, nchịkọta aka abụọ ọnụ, nchịkọta aka abụọ ọnụ: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
🤝	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nzukọ
🤝🏻	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha, nzukọ, ọtanjele ahụ maka ọcha
🤝🏼	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka ọcha-ndịna etiti, nzukọ, ọtanjele ahụ maka ọcha-ndịna etiti
🤝🏽	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ ndịna etiti, nzukọ, ọtanjele ahụ ndịna etiti
🤝🏾	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji-ndịna etiti, nzukọ, ọtanjele ahụ maka òji-ndịna etiti
🤝🏿	aka, ekwemụaka, kwee, nkwekọrịta, nkwenaka, nkwenaka: ọtanjele ahụ maka òji, nzukọ, ọtanjele ahụ maka òji
🙏	aka, aka ejikọrọ ọnụ, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu
🙏🏻	aka, aka ejikọrọ ọnụ, aka ejikọrọ ọnụ: ọtanjele ahụ maka ọcha, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu, ọtanjele ahụ maka ọcha
🙏🏼	aka, aka ejikọrọ ọnụ, aka ejikọrọ ọnụ: ọtanjele ahụ maka ọcha-ndịna etiti, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu, ọtanjele ahụ maka ọcha-ndịna etiti
🙏🏽	aka, aka ejikọrọ ọnụ, aka ejikọrọ ọnụ: ọtanjele ahụ ndịna etiti, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu, ọtanjele ahụ ndịna etiti
🙏🏾	aka, aka ejikọrọ ọnụ, aka ejikọrọ ọnụ: ọtanjele ahụ maka òji-ndịna etiti, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu, ọtanjele ahụ maka òji-ndịna etiti
🙏🏿	aka, aka ejikọrọ ọnụ, aka ejikọrọ ọnụ: ọtanjele ahụ maka òji, biko, daalụ, hulata, jikọrọ ọnụ, jụọ, kpee ekpere, ogbugbu, ọtanjele ahụ maka òji
✍️	aka, aka na-ede ihe, dèe
✍🏻	aka, aka na-ede ihe, aka na-ede ihe: ọtanjele ahụ maka ọcha, dèe, ọtanjele ahụ maka ọcha
✍🏼	aka, aka na-ede ihe, aka na-ede ihe: ọtanjele ahụ maka ọcha-ndịna etiti, dèe, ọtanjele ahụ maka ọcha-ndịna etiti
✍🏽	aka, aka na-ede ihe, aka na-ede ihe: ọtanjele ahụ ndịna etiti, dèe, ọtanjele ahụ ndịna etiti
✍🏾	aka, aka na-ede ihe, aka na-ede ihe: ọtanjele ahụ maka òji-ndịna etiti, dèe, ọtanjele ahụ maka òji-ndịna etiti
✍🏿	aka, aka na-ede ihe, aka na-ede ihe: ọtanjele ahụ maka òji, dèe, ọtanjele ahụ maka òji
💅	mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, ọtanjele
💅🏻	mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, nteji mbọaka: ọtanjele ahụ maka ọcha, ọtanjele, ọtanjele ahụ maka ọcha
💅🏼	mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, nteji mbọaka: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele, ọtanjele ahụ maka ọcha-ndịna etiti
💅🏽	mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, nteji mbọaka: ọtanjele ahụ ndịna etiti, ọtanjele, ọtanjele ahụ ndịna etiti
💅🏾	mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, nteji mbọaka: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele, ọtanjele ahụ maka òji-ndịna etiti
💅🏿	mbọ, mkpụcha aka, nleta, nteji, nteji mbọaka, nteji mbọaka: ọtanjele ahụ maka òji, ọtanjele, ọtanjele ahụ maka òji
🤳	ekwenti, igwefòto, selfi
🤳🏻	ekwenti, igwefòto, selfi, selfi: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🤳🏼	ekwenti, igwefòto, selfi, selfi: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🤳🏽	ekwenti, igwefòto, selfi, selfi: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🤳🏾	ekwenti, igwefòto, selfi, selfi: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🤳🏿	ekwenti, igwefòto, selfi, selfi: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
💪	akaọkpọ, akpụ̀ aka, akwara, mkpaọchị
💪🏻	akaọkpọ, akpụ̀ aka, akpụ̀ aka: ọtanjele ahụ maka ọcha, akwara, mkpaọchị, ọtanjele ahụ maka ọcha
💪🏼	akaọkpọ, akpụ̀ aka, akpụ̀ aka: ọtanjele ahụ maka ọcha-ndịna etiti, akwara, mkpaọchị, ọtanjele ahụ maka ọcha-ndịna etiti
💪🏽	akaọkpọ, akpụ̀ aka, akpụ̀ aka: ọtanjele ahụ ndịna etiti, akwara, mkpaọchị, ọtanjele ahụ ndịna etiti
💪🏾	akaọkpọ, akpụ̀ aka, akpụ̀ aka: ọtanjele ahụ maka òji-ndịna etiti, akwara, mkpaọchị, ọtanjele ahụ maka òji-ndịna etiti
💪🏿	akaọkpọ, akpụ̀ aka, akpụ̀ aka: ọtanjele ahụ maka òji, akwara, mkpaọchị, ọtanjele ahụ maka òji
👂️	nti, àhụ
👂🏻	nti, nti: ọtanjele ahụ maka ọcha, àhụ, ọtanjele ahụ maka ọcha
👂🏼	nti, nti: ọtanjele ahụ maka ọcha-ndịna etiti, àhụ, ọtanjele ahụ maka ọcha-ndịna etiti
👂🏽	nti, nti: ọtanjele ahụ ndịna etiti, àhụ, ọtanjele ahụ ndịna etiti
👂🏾	nti, nti: ọtanjele ahụ maka òji-ndịna etiti, àhụ, ọtanjele ahụ maka òji-ndịna etiti
👂🏿	nti, nti: ọtanjele ahụ maka òji, àhụ, ọtanjele ahụ maka òji
👃	imi, àhụ
👃🏻	imi, imi: ọtanjele ahụ maka ọcha, àhụ, ọtanjele ahụ maka ọcha
👃🏼	imi, imi: ọtanjele ahụ maka ọcha-ndịna etiti, àhụ, ọtanjele ahụ maka ọcha-ndịna etiti
👃🏽	imi, imi: ọtanjele ahụ ndịna etiti, àhụ, ọtanjele ahụ ndịna etiti
👃🏾	imi, imi: ọtanjele ahụ maka òji-ndịna etiti, àhụ, ọtanjele ahụ maka òji-ndịna etiti
👃🏿	imi, imi: ọtanjele ahụ maka òji, àhụ, ọtanjele ahụ maka òji
🧠	amamiihe, ụbụrụ
👀	anya, anya gasị, ihu
👁️	anya, àhụ
👅	ire, àhụ
👄	egbugbereọnụ, ọnụ
👶	nwata ọhụrụ, obere
👶🏻	nwata ọhụrụ, nwata ọhụrụ: ọtanjele ahụ maka ọcha, obere, ọtanjele ahụ maka ọcha
👶🏼	nwata ọhụrụ, nwata ọhụrụ: ọtanjele ahụ maka ọcha-ndịna etiti, obere, ọtanjele ahụ maka ọcha-ndịna etiti
👶🏽	nwata ọhụrụ, nwata ọhụrụ: ọtanjele ahụ ndịna etiti, obere, ọtanjele ahụ ndịna etiti
👶🏾	nwata ọhụrụ, nwata ọhụrụ: ọtanjele ahụ maka òji-ndịna etiti, obere, ọtanjele ahụ maka òji-ndịna etiti
👶🏿	nwata ọhụrụ, nwata ọhụrụ: ọtanjele ahụ maka òji, obere, ọtanjele ahụ maka òji
🧒	nwata, obere nwa, oke na nne-ndịnaetiti
🧒🏻	nwata, nwata: ọtanjele ahụ maka ọcha, obere nwa, oke na nne-ndịnaetiti, ọtanjele ahụ maka ọcha
🧒🏼	nwata, nwata: ọtanjele ahụ maka ọcha-ndịna etiti, obere nwa, oke na nne-ndịnaetiti, ọtanjele ahụ maka ọcha-ndịna etiti
🧒🏽	nwata, nwata: ọtanjele ahụ ndịna etiti, obere nwa, oke na nne-ndịnaetiti, ọtanjele ahụ ndịna etiti
🧒🏾	nwata, nwata: ọtanjele ahụ maka òji-ndịna etiti, obere nwa, oke na nne-ndịnaetiti, ọtanjele ahụ maka òji-ndịna etiti
🧒🏿	nwata, nwata: ọtanjele ahụ maka òji, obere nwa, oke na nne-ndịnaetiti, ọtanjele ahụ maka òji
👦	nwa nwoke, nwata, nwoke
👦🏻	nwa nwoke, nwa nwoke: ọtanjele ahụ maka ọcha, nwata, nwoke, ọtanjele ahụ maka ọcha
👦🏼	nwa nwoke, nwa nwoke: ọtanjele ahụ maka ọcha-ndịna etiti, nwata, nwoke, ọtanjele ahụ maka ọcha-ndịna etiti
👦🏽	nwa nwoke, nwa nwoke: ọtanjele ahụ ndịna etiti, nwata, nwoke, ọtanjele ahụ ndịna etiti
👦🏾	nwa nwoke, nwa nwoke: ọtanjele ahụ maka òji-ndịna etiti, nwata, nwoke, ọtanjele ahụ maka òji-ndịna etiti
👦🏿	nwa nwoke, nwa nwoke: ọtanjele ahụ maka òji, nwata, nwoke, ọtanjele ahụ maka òji
👧	Nwata, nwata nwaanyị, vigo, zodiak
👧🏻	Nwata, nwata nwaanyị, nwata nwaanyị: ọtanjele ahụ maka ọcha, vigo, zodiak, ọtanjele ahụ maka ọcha
👧🏼	Nwata, nwata nwaanyị, nwata nwaanyị: ọtanjele ahụ maka ọcha-ndịna etiti, vigo, zodiak, ọtanjele ahụ maka ọcha-ndịna etiti
👧🏽	Nwata, nwata nwaanyị, nwata nwaanyị: ọtanjele ahụ ndịna etiti, vigo, zodiak, ọtanjele ahụ ndịna etiti
👧🏾	Nwata, nwata nwaanyị, nwata nwaanyị: ọtanjele ahụ maka òji-ndịna etiti, vigo, zodiak, ọtanjele ahụ maka òji-ndịna etiti
👧🏿	Nwata, nwata nwaanyị, nwata nwaanyị: ọtanjele ahụ maka òji, vigo, zodiak, ọtanjele ahụ maka òji
🧑	oke na nne-ndịnaetiti, okenye
🧑🏻	oke na nne-ndịnaetiti, okenye, okenye: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
🧑🏼	oke na nne-ndịnaetiti, okenye, okenye: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
🧑🏽	oke na nne-ndịnaetiti, okenye, okenye: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
🧑🏾	oke na nne-ndịnaetiti, okenye, okenye: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
🧑🏿	oke na nne-ndịnaetiti, okenye, okenye: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👱	Onye-isi awọ, isi awọ
👱🏻	Onye-isi awọ, Onye-isi awọ: ọtanjele ahụ maka ọcha, isi awọ, ọtanjele ahụ maka ọcha
