🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
🚣🏻‍♀	baineann, bean, bean ag iomair báid, bean ag rámhaíocht báid, bean ag rámhaíocht báid: ton cnis geal, bád, bád iomartha, ton cnis geal
🚣🏼‍♀	baineann, bean, bean ag iomair báid, bean ag rámhaíocht báid, bean ag rámhaíocht báid: ton cnis meánach-gheal, bád, bád iomartha, ton cnis meánach-gheal
🚣🏽‍♀	baineann, bean, bean ag iomair báid, bean ag rámhaíocht báid, bean ag rámhaíocht báid: ton cnis meánach, bád, bád iomartha, ton cnis meánach
🚣🏾‍♀	baineann, bean, bean ag iomair báid, bean ag rámhaíocht báid, bean ag rámhaíocht báid: ton cnis meánach-dhorcha, bád, bád iomartha, ton cnis meánach-dhorcha
🚣🏿‍♀	baineann, bean, bean ag iomair báid, bean ag rámhaíocht báid, bean ag rámhaíocht báid: ton cnis dorcha, bád, bád iomartha, ton cnis dorcha
🏊🏻	snámh, snámhaí, snámhaí: ton cnis geal, spórt, ton cnis geal
🏊🏼	snámh, snámhaí, snámhaí: ton cnis meánach-gheal, spórt, ton cnis meánach-gheal
🏊🏽	snámh, snámhaí, snámhaí: ton cnis meánach, spórt, ton cnis meánach
🏊🏾	snámh, snámhaí, snámhaí: ton cnis meánach-dhorcha, spórt, ton cnis meánach-dhorcha
🏊🏿	snámh, snámhaí, snámhaí: ton cnis dorcha, spórt, ton cnis dorcha
🏊🏻‍♂	fear, fear ag snámh, fear ag snámh: ton cnis geal, fearann, snámh, ton cnis geal
🏊🏼‍♂	fear, fear ag snámh, fear ag snámh: ton cnis meánach-gheal, fearann, snámh, ton cnis meánach-gheal
🏊🏽‍♂	fear, fear ag snámh, fear ag snámh: ton cnis meánach, fearann, snámh, ton cnis meánach
🏊🏾‍♂	fear, fear ag snámh, fear ag snámh: ton cnis meánach-dhorcha, fearann, snámh, ton cnis meánach-dhorcha
🏊🏿‍♂	fear, fear ag snámh, fear ag snámh: ton cnis dorcha, fearann, snámh, ton cnis dorcha
🏊🏻‍♀	baineann, bean, bean ag snámh, bean ag snámh: ton cnis geal, snámh, ton cnis geal
🏊🏼‍♀	baineann, bean, bean ag snámh, bean ag snámh: ton cnis meánach-gheal, snámh, ton cnis meánach-gheal
🏊🏽‍♀	baineann, bean, bean ag snámh, bean ag snámh: ton cnis meánach, snámh, ton cnis meánach
🏊🏾‍♀	baineann, bean, bean ag snámh, bean ag snámh: ton cnis meánach-dhorcha, snámh, ton cnis meánach-dhorcha
🏊🏿‍♀	baineann, bean, bean ag snámh, bean ag snámh: ton cnis dorcha, snámh, ton cnis dorcha
⛹🏻	duine le liathróid, duine le liathróid: ton cnis geal, liathróid, ton cnis geal
⛹🏼	duine le liathróid, duine le liathróid: ton cnis meánach-gheal, liathróid, ton cnis meánach-gheal
⛹🏽	duine le liathróid, duine le liathróid: ton cnis meánach, liathróid, ton cnis meánach
⛹🏾	duine le liathróid, duine le liathróid: ton cnis meánach-dhorcha, liathróid, ton cnis meánach-dhorcha
⛹🏿	duine le liathróid, duine le liathróid: ton cnis dorcha, liathróid, ton cnis dorcha
⛹🏻‍♂	fear, fear le liathróid, fear le liathróid: ton cnis geal, fearann, liathróid, ton cnis geal
⛹🏼‍♂	fear, fear le liathróid, fear le liathróid: ton cnis meánach-gheal, fearann, liathróid, ton cnis meánach-gheal
⛹🏽‍♂	fear, fear le liathróid, fear le liathróid: ton cnis meánach, fearann, liathróid, ton cnis meánach
⛹🏾‍♂	fear, fear le liathróid, fear le liathróid: ton cnis meánach-dhorcha, fearann, liathróid, ton cnis meánach-dhorcha
⛹🏿‍♂	fear, fear le liathróid, fear le liathróid: ton cnis dorcha, fearann, liathróid, ton cnis dorcha
⛹🏻‍♀	baineann, bean, bean le liathróid, bean le liathróid: ton cnis geal, liathróid, ton cnis geal
⛹🏼‍♀	baineann, bean, bean le liathróid, bean le liathróid: ton cnis meánach-gheal, liathróid, ton cnis meánach-gheal
⛹🏽‍♀	baineann, bean, bean le liathróid, bean le liathróid: ton cnis meánach, liathróid, ton cnis meánach
⛹🏾‍♀	baineann, bean, bean le liathróid, bean le liathróid: ton cnis meánach-dhorcha, liathróid, ton cnis meánach-dhorcha
⛹🏿‍♀	baineann, bean, bean le liathróid, bean le liathróid: ton cnis dorcha, liathróid, ton cnis dorcha
🏋🏻	duine ag tógáil meachán, duine ag tógáil meachán: ton cnis geal, duine ag tógáil mheáchan, meáchan, ton cnis geal, tógálaí
🏋🏼	duine ag tógáil meachán, duine ag tógáil meachán: ton cnis meánach-gheal, duine ag tógáil mheáchan, meáchan, ton cnis meánach-gheal, tógálaí
🏋🏽	duine ag tógáil meachán, duine ag tógáil meachán: ton cnis meánach, duine ag tógáil mheáchan, meáchan, ton cnis meánach, tógálaí
🏋🏾	duine ag tógáil meachán, duine ag tógáil meachán: ton cnis meánach-dhorcha, duine ag tógáil mheáchan, meáchan, ton cnis meánach-dhorcha, tógálaí
🏋🏿	duine ag tógáil meachán, duine ag tógáil meachán: ton cnis dorcha, duine ag tógáil mheáchan, meáchan, ton cnis dorcha, tógálaí
🏋🏻‍♂	fear, fear ag tógáil meachán, fear ag tógáil meachán: ton cnis geal, fear ag tógáil mheáchan, fearann, ton cnis geal, tógálaí meáchain
🏋🏼‍♂	fear, fear ag tógáil meachán, fear ag tógáil meachán: ton cnis meánach-gheal, fear ag tógáil mheáchan, fearann, ton cnis meánach-gheal, tógálaí meáchain
🏋🏽‍♂	fear, fear ag tógáil meachán, fear ag tógáil meachán: ton cnis meánach, fear ag tógáil mheáchan, fearann, ton cnis meánach, tógálaí meáchain
🏋🏾‍♂	fear, fear ag tógáil meachán, fear ag tógáil meachán: ton cnis meánach-dhorcha, fear ag tógáil mheáchan, fearann, ton cnis meánach-dhorcha, tógálaí meáchain
🏋🏿‍♂	fear, fear ag tógáil meachán, fear ag tógáil meachán: ton cnis dorcha, fear ag tógáil mheáchan, fearann, ton cnis dorcha, tógálaí meáchain
🏋🏻‍♀	baineann, bean ag tógáil meachán, bean ag tógáil meachán: ton cnis geal, bean ag tógáil mheáchan, ton cnis geal, tógálaí meáchain
🏋🏼‍♀	baineann, bean ag tógáil meachán, bean ag tógáil meachán: ton cnis meánach-gheal, bean ag tógáil mheáchan, ton cnis meánach-gheal, tógálaí meáchain
🏋🏽‍♀	baineann, bean ag tógáil meachán, bean ag tógáil meachán: ton cnis meánach, bean ag tógáil mheáchan, ton cnis meánach, tógálaí meáchain
🏋🏾‍♀	baineann, bean ag tógáil meachán, bean ag tógáil meachán: ton cnis meánach-dhorcha, bean ag tógáil mheáchan, ton cnis meánach-dhorcha, tógálaí meáchain
🏋🏿‍♀	baineann, bean ag tógáil meachán, bean ag tógáil meachán: ton cnis dorcha, bean ag tógáil mheáchan, ton cnis dorcha, tógálaí meáchain
🚴🏻	rothar, rothaí, rothaí: ton cnis geal, ton cnis geal
🚴🏼	rothar, rothaí, rothaí: ton cnis meánach-gheal, ton cnis meánach-gheal
🚴🏽	rothar, rothaí, rothaí: ton cnis meánach, ton cnis meánach
🚴🏾	rothar, rothaí, rothaí: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🚴🏿	rothar, rothaí, rothaí: ton cnis dorcha, ton cnis dorcha
🚴🏻‍♂	ag rothaíocht, fear, fear ag rothaíocht, fear ag rothaíocht: ton cnis geal, fearann, rothar, rothaí, ton cnis geal
🚴🏼‍♂	ag rothaíocht, fear, fear ag rothaíocht, fear ag rothaíocht: ton cnis meánach-gheal, fearann, rothar, rothaí, ton cnis meánach-gheal
🚴🏽‍♂	ag rothaíocht, fear, fear ag rothaíocht, fear ag rothaíocht: ton cnis meánach, fearann, rothar, rothaí, ton cnis meánach
🚴🏾‍♂	ag rothaíocht, fear, fear ag rothaíocht, fear ag rothaíocht: ton cnis meánach-dhorcha, fearann, rothar, rothaí, ton cnis meánach-dhorcha
🚴🏿‍♂	ag rothaíocht, fear, fear ag rothaíocht, fear ag rothaíocht: ton cnis dorcha, fearann, rothar, rothaí, ton cnis dorcha
🚴🏻‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht, bean ag rothaíocht: ton cnis geal, rothar, rothaí, ton cnis geal
🚴🏼‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht, bean ag rothaíocht: ton cnis meánach-gheal, rothar, rothaí, ton cnis meánach-gheal
🚴🏽‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht, bean ag rothaíocht: ton cnis meánach, rothar, rothaí, ton cnis meánach
🚴🏾‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht, bean ag rothaíocht: ton cnis meánach-dhorcha, rothar, rothaí, ton cnis meánach-dhorcha
🚴🏿‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht, bean ag rothaíocht: ton cnis dorcha, rothar, rothaí, ton cnis dorcha
🚵🏻	rothar, rothaí, rothaí sléibhe, rothaí sléibhe: ton cnis geal, sliabh, ton cnis geal
🚵🏼	rothar, rothaí, rothaí sléibhe, rothaí sléibhe: ton cnis meánach-gheal, sliabh, ton cnis meánach-gheal
🚵🏽	rothar, rothaí, rothaí sléibhe, rothaí sléibhe: ton cnis meánach, sliabh, ton cnis meánach
🚵🏾	rothar, rothaí, rothaí sléibhe, rothaí sléibhe: ton cnis meánach-dhorcha, sliabh, ton cnis meánach-dhorcha
🚵🏿	rothar, rothaí, rothaí sléibhe, rothaí sléibhe: ton cnis dorcha, sliabh, ton cnis dorcha
🚵🏻‍♂	ag rothaíocht, fear ag rothaíocht sléibhe, fear ag rothaíocht sléibhe: ton cnis geal, fearann, rothar, rothaí, sliabh, ton cnis geal
🚵🏼‍♂	ag rothaíocht, fear ag rothaíocht sléibhe, fear ag rothaíocht sléibhe: ton cnis meánach-gheal, fearann, rothar, rothaí, sliabh, ton cnis meánach-gheal
🚵🏽‍♂	ag rothaíocht, fear ag rothaíocht sléibhe, fear ag rothaíocht sléibhe: ton cnis meánach, fearann, rothar, rothaí, sliabh, ton cnis meánach
🚵🏾‍♂	ag rothaíocht, fear ag rothaíocht sléibhe, fear ag rothaíocht sléibhe: ton cnis meánach-dhorcha, fearann, rothar, rothaí, sliabh, ton cnis meánach-dhorcha
🚵🏿‍♂	ag rothaíocht, fear ag rothaíocht sléibhe, fear ag rothaíocht sléibhe: ton cnis dorcha, fearann, rothar, rothaí, sliabh, ton cnis dorcha
🚵🏻‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht sléibhe, bean ag rothaíocht sléibhe: ton cnis geal, rothar, rothaí, sliabh, ton cnis geal
🚵🏼‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht sléibhe, bean ag rothaíocht sléibhe: ton cnis meánach-gheal, rothar, rothaí, sliabh, ton cnis meánach-gheal
🚵🏽‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht sléibhe, bean ag rothaíocht sléibhe: ton cnis meánach, rothar, rothaí, sliabh, ton cnis meánach
🚵🏾‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht sléibhe, bean ag rothaíocht sléibhe: ton cnis meánach-dhorcha, rothar, rothaí, sliabh, ton cnis meánach-dhorcha
🚵🏿‍♀	ag rothaíocht, baineann, bean, bean ag rothaíocht sléibhe, bean ag rothaíocht sléibhe: ton cnis dorcha, rothar, rothaí, sliabh, ton cnis dorcha
🤸🏻	casadh, duine, duine ag rothchasadh, duine ag rothchasadh: ton cnis geal, rothalchleas, rothchasadh, ton cnis geal
🤸🏼	casadh, duine, duine ag rothchasadh, duine ag rothchasadh: ton cnis meánach-gheal, rothalchleas, rothchasadh, ton cnis meánach-gheal
🤸🏽	casadh, duine, duine ag rothchasadh, duine ag rothchasadh: ton cnis meánach, rothalchleas, rothchasadh, ton cnis meánach
🤸🏾	casadh, duine, duine ag rothchasadh, duine ag rothchasadh: ton cnis meánach-dhorcha, rothalchleas, rothchasadh, ton cnis meánach-dhorcha
🤸🏿	casadh, duine, duine ag rothchasadh, duine ag rothchasadh: ton cnis dorcha, rothalchleas, rothchasadh, ton cnis dorcha
🤸🏻‍♂	cleas an rotha, fear, fear ag déanamh chleas an rotha, fear ag rothchasadh, fear ag rothchasadh: ton cnis geal, gleacaíocht, ton cnis geal
🤸🏼‍♂	cleas an rotha, fear, fear ag déanamh chleas an rotha, fear ag rothchasadh, fear ag rothchasadh: ton cnis meánach-gheal, gleacaíocht, ton cnis meánach-gheal
🤸🏽‍♂	cleas an rotha, fear, fear ag déanamh chleas an rotha, fear ag rothchasadh, fear ag rothchasadh: ton cnis meánach, gleacaíocht, ton cnis meánach
🤸🏾‍♂	cleas an rotha, fear, fear ag déanamh chleas an rotha, fear ag rothchasadh, fear ag rothchasadh: ton cnis meánach-dhorcha, gleacaíocht, ton cnis meánach-dhorcha
🤸🏿‍♂	cleas an rotha, fear, fear ag déanamh chleas an rotha, fear ag rothchasadh, fear ag rothchasadh: ton cnis dorcha, gleacaíocht, ton cnis dorcha
🤸🏻‍♀	baineann, bean, bean ag rothchasadh, bean ag rothchasadh: ton cnis geal, duine, gleacaíocht, rothchasadh, spórt, ton cnis geal
🤸🏼‍♀	baineann, bean, bean ag rothchasadh, bean ag rothchasadh: ton cnis meánach-gheal, duine, gleacaíocht, rothchasadh, spórt, ton cnis meánach-gheal
🤸🏽‍♀	baineann, bean, bean ag rothchasadh, bean ag rothchasadh: ton cnis meánach, duine, gleacaíocht, rothchasadh, spórt, ton cnis meánach
🤸🏾‍♀	baineann, bean, bean ag rothchasadh, bean ag rothchasadh: ton cnis meánach-dhorcha, duine, gleacaíocht, rothchasadh, spórt, ton cnis meánach-dhorcha
🤸🏿‍♀	baineann, bean, bean ag rothchasadh, bean ag rothchasadh: ton cnis dorcha, duine, gleacaíocht, rothchasadh, spórt, ton cnis dorcha
🤽🏻	duine, duine ag imirt póló uisce, duine ag imirt póló uisce: ton cnis geal, póló, snámh, spórt, ton cnis geal, uisce
🤽🏼	duine, duine ag imirt póló uisce, duine ag imirt póló uisce: ton cnis meánach-gheal, póló, snámh, spórt, ton cnis meánach-gheal, uisce
🤽🏽	duine, duine ag imirt póló uisce, duine ag imirt póló uisce: ton cnis meánach, póló, snámh, spórt, ton cnis meánach, uisce
🤽🏾	duine, duine ag imirt póló uisce, duine ag imirt póló uisce: ton cnis meánach-dhorcha, póló, snámh, spórt, ton cnis meánach-dhorcha, uisce
🤽🏿	duine, duine ag imirt póló uisce, duine ag imirt póló uisce: ton cnis dorcha, póló, snámh, spórt, ton cnis dorcha, uisce
🤽🏻‍♂	fear, fear ag imirt póló uisce, fear ag imirt póló uisce: ton cnis geal, fearann, póló uisce, spórt, ton cnis geal
🤽🏼‍♂	fear, fear ag imirt póló uisce, fear ag imirt póló uisce: ton cnis meánach-gheal, fearann, póló uisce, spórt, ton cnis meánach-gheal
🤽🏽‍♂	fear, fear ag imirt póló uisce, fear ag imirt póló uisce: ton cnis meánach, fearann, póló uisce, spórt, ton cnis meánach
🤽🏾‍♂	fear, fear ag imirt póló uisce, fear ag imirt póló uisce: ton cnis meánach-dhorcha, fearann, póló uisce, spórt, ton cnis meánach-dhorcha
🤽🏿‍♂	fear, fear ag imirt póló uisce, fear ag imirt póló uisce: ton cnis dorcha, fearann, póló uisce, spórt, ton cnis dorcha
🤽🏻‍♀	baineann, bean, bean ag imirt póló uisce, bean ag imirt póló uisce: ton cnis geal, póló uisce, spórt, ton cnis geal
🤽🏼‍♀	baineann, bean, bean ag imirt póló uisce, bean ag imirt póló uisce: ton cnis meánach-gheal, póló uisce, spórt, ton cnis meánach-gheal
🤽🏽‍♀	baineann, bean, bean ag imirt póló uisce, bean ag imirt póló uisce: ton cnis meánach, póló uisce, spórt, ton cnis meánach
🤽🏾‍♀	baineann, bean, bean ag imirt póló uisce, bean ag imirt póló uisce: ton cnis meánach-dhorcha, póló uisce, spórt, ton cnis meánach-dhorcha
🤽🏿‍♀	baineann, bean, bean ag imirt póló uisce, bean ag imirt póló uisce: ton cnis dorcha, póló uisce, spórt, ton cnis dorcha
🤾🏻	duine, duine ag imirt liathróid láimhe, duine ag imirt liathróid láimhe: ton cnis geal, liathróid, liathróid láimhe, lámh, pinniú, ton cnis geal
🤾🏼	duine, duine ag imirt liathróid láimhe, duine ag imirt liathróid láimhe: ton cnis meánach-gheal, liathróid, liathróid láimhe, lámh, pinniú, ton cnis meánach-gheal
🤾🏽	duine, duine ag imirt liathróid láimhe, duine ag imirt liathróid láimhe: ton cnis meánach, liathróid, liathróid láimhe, lámh, pinniú, ton cnis meánach
🤾🏾	duine, duine ag imirt liathróid láimhe, duine ag imirt liathróid láimhe: ton cnis meánach-dhorcha, liathróid, liathróid láimhe, lámh, pinniú, ton cnis meánach-dhorcha
🤾🏿	duine, duine ag imirt liathróid láimhe, duine ag imirt liathróid láimhe: ton cnis dorcha, liathróid, liathróid láimhe, lámh, pinniú, ton cnis dorcha
🤾🏻‍♂	fear, fear ag imirt liathróid láimhe, fear ag imirt liathróid láimhe: ton cnis geal, fearann, liathróid láimhe, spórt, ton cnis geal
🤾🏼‍♂	fear, fear ag imirt liathróid láimhe, fear ag imirt liathróid láimhe: ton cnis meánach-gheal, fearann, liathróid láimhe, spórt, ton cnis meánach-gheal
🤾🏽‍♂	fear, fear ag imirt liathróid láimhe, fear ag imirt liathróid láimhe: ton cnis meánach, fearann, liathróid láimhe, spórt, ton cnis meánach
🤾🏾‍♂	fear, fear ag imirt liathróid láimhe, fear ag imirt liathróid láimhe: ton cnis meánach-dhorcha, fearann, liathróid láimhe, spórt, ton cnis meánach-dhorcha
🤾🏿‍♂	fear, fear ag imirt liathróid láimhe, fear ag imirt liathróid láimhe: ton cnis dorcha, fearann, liathróid láimhe, spórt, ton cnis dorcha
🤾🏻‍♀	baineann, bean, bean ag imirt liathróid láimhe, bean ag imirt liathróid láimhe: ton cnis geal, liathróid láimhe, spórt, ton cnis geal
🤾🏼‍♀	baineann, bean, bean ag imirt liathróid láimhe, bean ag imirt liathróid láimhe: ton cnis meánach-gheal, liathróid láimhe, spórt, ton cnis meánach-gheal
🤾🏽‍♀	baineann, bean, bean ag imirt liathróid láimhe, bean ag imirt liathróid láimhe: ton cnis meánach, liathróid láimhe, spórt, ton cnis meánach
🤾🏾‍♀	baineann, bean, bean ag imirt liathróid láimhe, bean ag imirt liathróid láimhe: ton cnis meánach-dhorcha, liathróid láimhe, spórt, ton cnis meánach-dhorcha
🤾🏿‍♀	baineann, bean, bean ag imirt liathróid láimhe, bean ag imirt liathróid láimhe: ton cnis dorcha, liathróid láimhe, spórt, ton cnis dorcha
🤹🏻	duine ag déanamh lámhchleasaíochta, duine ag déanamh lámhchleasaíochta: ton cnis geal, ionramháil, liathróid, lámhchleasaíocht, scil, ton cnis geal
🤹🏼	duine ag déanamh lámhchleasaíochta, duine ag déanamh lámhchleasaíochta: ton cnis meánach-gheal, ionramháil, liathróid, lámhchleasaíocht, scil, ton cnis meánach-gheal
🤹🏽	duine ag déanamh lámhchleasaíochta, duine ag déanamh lámhchleasaíochta: ton cnis meánach, ionramháil, liathróid, lámhchleasaíocht, scil, ton cnis meánach
🤹🏾	duine ag déanamh lámhchleasaíochta, duine ag déanamh lámhchleasaíochta: ton cnis meánach-dhorcha, ionramháil, liathróid, lámhchleasaíocht, scil, ton cnis meánach-dhorcha
🤹🏿	duine ag déanamh lámhchleasaíochta, duine ag déanamh lámhchleasaíochta: ton cnis dorcha, ionramháil, liathróid, lámhchleasaíocht, scil, ton cnis dorcha
🤹🏻‍♂	fear, fear ag déanamh lámhchleasaíocht, fear ag déanamh lámhchleasaíochta, fear ag déanamh lámhchleasaíochta: ton cnis geal, fearann, iltascáil, lámhchleasaíocht, spórt, ton cnis geal
🤹🏼‍♂	fear, fear ag déanamh lámhchleasaíocht, fear ag déanamh lámhchleasaíochta, fear ag déanamh lámhchleasaíochta: ton cnis meánach-gheal, fearann, iltascáil, lámhchleasaíocht, spórt, ton cnis meánach-gheal
🤹🏽‍♂	fear, fear ag déanamh lámhchleasaíocht, fear ag déanamh lámhchleasaíochta, fear ag déanamh lámhchleasaíochta: ton cnis meánach, fearann, iltascáil, lámhchleasaíocht, spórt, ton cnis meánach
🤹🏾‍♂	fear, fear ag déanamh lámhchleasaíocht, fear ag déanamh lámhchleasaíochta, fear ag déanamh lámhchleasaíochta: ton cnis meánach-dhorcha, fearann, iltascáil, lámhchleasaíocht, spórt, ton cnis meánach-dhorcha
🤹🏿‍♂	fear, fear ag déanamh lámhchleasaíocht, fear ag déanamh lámhchleasaíochta, fear ag déanamh lámhchleasaíochta: ton cnis dorcha, fearann, iltascáil, lámhchleasaíocht, spórt, ton cnis dorcha
🤹🏻‍♀	ag déanamh lámhchleasaíocht, baineann, bean, bean ag déanamh lámhchleasaíocht, bean ag déanamh lámhchleasaíochta, bean ag déanamh lámhchleasaíochta: ton cnis geal, iltascáil, ton cnis geal
🤹🏼‍♀	ag déanamh lámhchleasaíocht, baineann, bean, bean ag déanamh lámhchleasaíocht, bean ag déanamh lámhchleasaíochta, bean ag déanamh lámhchleasaíochta: ton cnis meánach-gheal, iltascáil, ton cnis meánach-gheal
🤹🏽‍♀	ag déanamh lámhchleasaíocht, baineann, bean, bean ag déanamh lámhchleasaíocht, bean ag déanamh lámhchleasaíochta, bean ag déanamh lámhchleasaíochta: ton cnis meánach, iltascáil, ton cnis meánach
🤹🏾‍♀	ag déanamh lámhchleasaíocht, baineann, bean, bean ag déanamh lámhchleasaíocht, bean ag déanamh lámhchleasaíochta, bean ag déanamh lámhchleasaíochta: ton cnis meánach-dhorcha, iltascáil, ton cnis meánach-dhorcha
🤹🏿‍♀	ag déanamh lámhchleasaíocht, baineann, bean, bean ag déanamh lámhchleasaíocht, bean ag déanamh lámhchleasaíochta, bean ag déanamh lámhchleasaíochta: ton cnis dorcha, iltascáil, ton cnis dorcha
👩‍❤‍💋‍👨	bean, fear, grá, póg, póg: bean, fear, pógadh
👨‍❤‍💋‍👨	fear, grá, póg, póg: fear, fear, pógadh
👩‍❤‍💋‍👩	bean, grá, póg, póg: bean, bean, pógadh
👩‍❤‍👨	bean, croí, fear, grá, lanúin le croí, lanúin le croí: bean, fear, lánúin
👨‍❤‍👨	croí, fear, grá, lanúin le croí, lanúin le croí: fear, fear, lánúin
👩‍❤‍👩	bean, croí, grá, lanúin le croí, lanúin le croí: bean, bean, lánúin
👨‍👩‍👦	athair, bean, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, buachaill
👨‍👩‍👧	athair, bean, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, cailín
👨‍👩‍👧‍👦	athair, bean, buachaill, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, cailín, buachaill
👨‍👩‍👦‍👦	athair, bean, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, buachaill, buachaill
👨‍👩‍👧‍👧	athair, bean, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, cailín, cailín
👨‍👨‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, buachaill
👨‍👨‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, cailín
👨‍👨‍👧‍👦	athair, buachaill, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, cailín, buachaill
👨‍👨‍👦‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, buachaill, buachaill
👨‍👨‍👧‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, cailín, cailín
👩‍👩‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, buachaill
👩‍👩‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, cailín
👩‍👩‍👧‍👦	athair, bean, buachaill, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, cailín, buachaill
👩‍👩‍👦‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, buachaill, buachaill
👩‍👩‍👧‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, cailín, cailín
👨‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, buachaill
👨‍👦‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, buachaill, buachaill
👨‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, cailín
👨‍👧‍👦	athair, buachaill, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, cailín, buachaill
👨‍👧‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, cailín, cailín
👩‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, buachaill
👩‍👦‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, buachaill, buachaill
👩‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, cailín
👩‍👧‍👦	athair, bean, buachaill, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, cailín, buachaill
👩‍👧‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, cailín, cailín
🤳🏻	féinghraf, féinphic, féinphic: ton cnis geal, pictiúr, ton cnis geal
🤳🏼	féinghraf, féinphic, féinphic: ton cnis meánach-gheal, pictiúr, ton cnis meánach-gheal
🤳🏽	féinghraf, féinphic, féinphic: ton cnis meánach, pictiúr, ton cnis meánach
🤳🏾	féinghraf, féinphic, féinphic: ton cnis meánach-dhorcha, pictiúr, ton cnis meánach-dhorcha
🤳🏿	féinghraf, féinphic, féinphic: ton cnis dorcha, pictiúr, ton cnis dorcha
💪🏻	bícéips, bícéips lúbtha, bícéips lúbtha: ton cnis geal, láidir, matáin, ton cnis geal
💪🏼	bícéips, bícéips lúbtha, bícéips lúbtha: ton cnis meánach-gheal, láidir, matáin, ton cnis meánach-gheal
💪🏽	bícéips, bícéips lúbtha, bícéips lúbtha: ton cnis meánach, láidir, matáin, ton cnis meánach
💪🏾	bícéips, bícéips lúbtha, bícéips lúbtha: ton cnis meánach-dhorcha, láidir, matáin, ton cnis meánach-dhorcha
💪🏿	bícéips, bícéips lúbtha, bícéips lúbtha: ton cnis dorcha, láidir, matáin, ton cnis dorcha
👈🏻	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis geal, lámh, méar, ton cnis geal
👈🏼	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis meánach-gheal, lámh, méar, ton cnis meánach-gheal
👈🏽	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis meánach, lámh, méar, ton cnis meánach
👈🏾	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis meánach-dhorcha, lámh, méar, ton cnis meánach-dhorcha
👈🏿	corrmhéar, cúl cormhéar ag pointeáil ar chlé, cúl corrmhéire ag díriú ar chlé, cúl corrmhéire ag díriú ar chlé: ton cnis dorcha, lámh, méar, ton cnis dorcha
👉🏻	corrmhéar, cúl cormhéar ag pointeáil ar dheis, cúl corrmhéire ag díriú ar dheis, cúl corrmhéire ag díriú ar dheis: ton cnis geal, lámh, méar, ton cnis geal
