‾	tapae
🙌🏼	kiri āhua māmā-waenga, ngā ringa tū, ngā ringa tū: kiri āhua māmā-waenga, ringa, tohu ā-ringa, tū, whakanuinga, āhaha
🙌🏽	kiri āhua waenga, ngā ringa tū, ngā ringa tū: kiri āhua waenga, ringa, tohu ā-ringa, tū, whakanuinga, āhaha
🙌🏾	kiri āhua waenga-parauri, ngā ringa tū, ngā ringa tū: kiri āhua waenga-parauri, ringa, tohu ā-ringa, tū, whakanuinga, āhaha
🙌🏿	kiri āhua parauri, ngā ringa tū, ngā ringa tū: kiri āhua parauri, ringa, tohu ā-ringa, tū, whakanuinga, āhaha
👐	ringa, ringa tuwhera, tuwhera
👐🏻	kiri āhua māmā, ringa, ringa tuwhera: kiri āhua māmā, tuwhera
👐🏼	kiri āhua māmā-waenga, ringa, ringa tuwhera: kiri āhua māmā-waenga, tuwhera
👐🏽	kiri āhua waenga, ringa, ringa tuwhera: kiri āhua waenga, tuwhera
👐🏾	kiri āhua waenga-parauri, ringa, ringa tuwhera: kiri āhua waenga-parauri, tuwhera
👐🏿	kiri āhua parauri, ringa, ringa tuwhera: kiri āhua parauri, tuwhera
🤲	inoi, ringa rewa tahi
🤲🏻	inoi, kiri āhua māmā, ringa rewa tahi, ringa rewa tahi: kiri āhua māmā
🤲🏼	inoi, kiri āhua māmā-waenga, ringa rewa tahi, ringa rewa tahi: kiri āhua māmā-waenga
🤲🏽	inoi, kiri āhua waenga, ringa rewa tahi, ringa rewa tahi: kiri āhua waenga
🤲🏾	inoi, kiri āhua waenga-parauri, ringa rewa tahi, ringa rewa tahi: kiri āhua waenga-parauri
🤲🏿	inoi, kiri āhua parauri, ringa rewa tahi, ringa rewa tahi: kiri āhua parauri
🤝	ringa, rūrū, tūtaki, whakaaetanga
🤝🏻	kiri āhua māmā, ringa, rūrū, rūrū: kiri āhua māmā, tūtaki, whakaaetanga
🤝🏼	kiri āhua māmā-waenga, ringa, rūrū, rūrū: kiri āhua māmā-waenga, tūtaki, whakaaetanga
🤝🏽	kiri āhua waenga, ringa, rūrū, rūrū: kiri āhua waenga, tūtaki, whakaaetanga
🤝🏾	kiri āhua waenga-parauri, ringa, rūrū, rūrū: kiri āhua waenga-parauri, tūtaki, whakaaetanga
🤝🏿	kiri āhua parauri, ringa, rūrū, rūrū: kiri āhua parauri, tūtaki, whakaaetanga
🙏	ihoi, koa, pōkai, ringa, ringa whiri, tohu, tuohu, ui, whakawhetai
🙏🏻	ihoi, kiri āhua māmā, koa, pōkai, ringa, ringa whiri, ringa whiri: kiri āhua māmā, tohu, tuohu, ui, whakawhetai
🙏🏼	ihoi, kiri āhua māmā-waenga, koa, pōkai, ringa, ringa whiri, ringa whiri: kiri āhua māmā-waenga, tohu, tuohu, ui, whakawhetai
🙏🏽	ihoi, kiri āhua waenga, koa, pōkai, ringa, ringa whiri, ringa whiri: kiri āhua waenga, tohu, tuohu, ui, whakawhetai
🙏🏾	ihoi, kiri āhua waenga-parauri, koa, pōkai, ringa, ringa whiri, ringa whiri: kiri āhua waenga-parauri, tohu, tuohu, ui, whakawhetai
🙏🏿	ihoi, kiri āhua parauri, koa, pōkai, ringa, ringa whiri, ringa whiri: kiri āhua parauri, tohu, tuohu, ui, whakawhetai
✍️	ringa, ringa tuhituhi, tuhi
✍🏻	kiri āhua māmā, ringa, ringa tuhituhi, ringa tuhituhi: kiri āhua māmā, tuhi
✍🏼	kiri āhua māmā-waenga, ringa, ringa tuhituhi, ringa tuhituhi: kiri āhua māmā-waenga, tuhi
✍🏽	kiri āhua waenga, ringa, ringa tuhituhi, ringa tuhituhi: kiri āhua waenga, tuhi
✍🏾	kiri āhua waenga-parauri, ringa, ringa tuhituhi, ringa tuhituhi: kiri āhua waenga-parauri, tuhi
✍🏿	kiri āhua parauri, ringa, ringa tuhituhi, ringa tuhituhi: kiri āhua parauri, tuhi
💅	maikūkū, pani, pani maikūkū, tiaki, whakapai maikūkū, whakapaipai
💅🏻	kiri āhua māmā, maikūkū, pani, pani maikūkū: kiri āhua māmā, tiaki, whakapai maikūkū, whakapaipai
💅🏼	kiri āhua māmā-waenga, maikūkū, pani, pani maikūkū: kiri āhua māmā-waenga, tiaki, whakapai maikūkū, whakapaipai
💅🏽	kiri āhua waenga, maikūkū, pani, pani maikūkū: kiri āhua waenga, tiaki, whakapai maikūkū, whakapaipai
💅🏾	kiri āhua waenga-parauri, maikūkū, pani, pani maikūkū: kiri āhua waenga-parauri, tiaki, whakapai maikūkū, whakapaipai
💅🏿	kiri āhua parauri, maikūkū, pani, pani maikūkū: kiri āhua parauri, tiaki, whakapai maikūkū, whakapaipai
🤳	kiriāhua, kāmera, waea
🤳🏻	kiri āhua māmā, kiriāhua, kiriāhua: kiri āhua māmā, kāmera, waea
🤳🏼	kiri āhua māmā-waenga, kiriāhua, kiriāhua: kiri āhua māmā-waenga, kāmera, waea
🤳🏽	kiri āhua waenga, kiriāhua, kiriāhua: kiri āhua waenga, kāmera, waea
🤳🏾	kiri āhua waenga-parauri, kiriāhua, kiriāhua: kiri āhua waenga-parauri, kāmera, waea
🤳🏿	kiri āhua parauri, kiriāhua, kiriāhua: kiri āhua parauri, kāmera, waea
💪	uarua, uarua whakapakari, uaua, whakakata, whakapakari
💪🏻	kiri āhua māmā, uarua, uarua whakapakari: kiri āhua māmā, uaua, whakakata, whakapakari
💪🏼	kiri āhua māmā-waenga, uarua, uarua whakapakari: kiri āhua māmā-waenga, uaua, whakakata, whakapakari
💪🏽	kiri āhua waenga, uarua, uarua whakapakari: kiri āhua waenga, uaua, whakakata, whakapakari
💪🏾	kiri āhua waenga-parauri, uarua, uarua whakapakari: kiri āhua waenga-parauri, uaua, whakakata, whakapakari
💪🏿	kiri āhua parauri, uarua, uarua whakapakari: kiri āhua parauri, uaua, whakakata, whakapakari
👂️	taringa, tinana
👂🏻	kiri āhua māmā, taringa, taringa: kiri āhua māmā, tinana
👂🏼	kiri āhua māmā-waenga, taringa, taringa: kiri āhua māmā-waenga, tinana
👂🏽	kiri āhua waenga, taringa, taringa: kiri āhua waenga, tinana
👂🏾	kiri āhua waenga-parauri, taringa, taringa: kiri āhua waenga-parauri, tinana
👂🏿	kiri āhua parauri, taringa, taringa: kiri āhua parauri, tinana
👃	ihu, tinana
👃🏻	ihu, ihu: kiri āhua māmā, kiri āhua māmā, tinana
👃🏼	ihu, ihu: kiri āhua māmā-waenga, kiri āhua māmā-waenga, tinana
👃🏽	ihu, ihu: kiri āhua waenga, kiri āhua waenga, tinana
👃🏾	ihu, ihu: kiri āhua waenga-parauri, kiri āhua waenga-parauri, tinana
👃🏿	ihu, ihu: kiri āhua parauri, kiri āhua parauri, tinana
🧠	mōhio, roro
👀	kanohi, karu, ngā karu
👁️	karu, tinana
👅	arero, tinana
👄	ngā ngutu, waha
👶	pēpi, tamariki
👶🏻	kiri āhua māmā, pēpi, pēpi: kiri āhua māmā, tamariki
👶🏼	kiri āhua māmā-waenga, pēpi, pēpi: kiri āhua māmā-waenga, tamariki
👶🏽	kiri āhua waenga, pēpi, pēpi: kiri āhua waenga, tamariki
👶🏾	kiri āhua waenga-parauri, pēpi, pēpi: kiri āhua waenga-parauri, tamariki
👶🏿	kiri āhua parauri, pēpi, pēpi: kiri āhua parauri, tamariki
🧒	ira-kūpapa, tamaiti, tamariki
🧒🏻	ira-kūpapa, kiri āhua māmā, tamaiti, tamaiti: kiri āhua māmā, tamariki
🧒🏼	ira-kūpapa, kiri āhua māmā-waenga, tamaiti, tamaiti: kiri āhua māmā-waenga, tamariki
🧒🏽	ira-kūpapa, kiri āhua waenga, tamaiti, tamaiti: kiri āhua waenga, tamariki
🧒🏾	ira-kūpapa, kiri āhua waenga-parauri, tamaiti, tamaiti: kiri āhua waenga-parauri, tamariki
🧒🏿	ira-kūpapa, kiri āhua parauri, tamaiti, tamaiti: kiri āhua parauri, tamariki
👦	tama, tamariki, tamatāne
👦🏻	kiri āhua māmā, tama, tamariki, tamatāne, tamatāne: kiri āhua māmā
👦🏼	kiri āhua māmā-waenga, tama, tamariki, tamatāne, tamatāne: kiri āhua māmā-waenga
👦🏽	kiri āhua waenga, tama, tamariki, tamatāne, tamatāne: kiri āhua waenga
👦🏾	kiri āhua waenga-parauri, tama, tamariki, tamatāne, tamatāne: kiri āhua waenga-parauri
👦🏿	kiri āhua parauri, tama, tamariki, tamatāne, tamatāne: kiri āhua parauri
👧	Virgo, kōtiro, poutiriao, tamariki
👧🏻	Virgo, kiri āhua māmā, kōtiro, kōtiro: kiri āhua māmā, poutiriao, tamariki
👧🏼	Virgo, kiri āhua māmā-waenga, kōtiro, kōtiro: kiri āhua māmā-waenga, poutiriao, tamariki
👧🏽	Virgo, kiri āhua waenga, kōtiro, kōtiro: kiri āhua waenga, poutiriao, tamariki
👧🏾	Virgo, kiri āhua waenga-parauri, kōtiro, kōtiro: kiri āhua waenga-parauri, poutiriao, tamariki
👧🏿	Virgo, kiri āhua parauri, kōtiro, kōtiro: kiri āhua parauri, poutiriao, tamariki
🧑	ira-kūpapa, pakeke
🧑🏻	ira-kūpapa, kiri āhua māmā, pakeke, pakeke: kiri āhua māmā
🧑🏼	ira-kūpapa, kiri āhua māmā-waenga, pakeke, pakeke: kiri āhua māmā-waenga
🧑🏽	ira-kūpapa, kiri āhua waenga, pakeke, pakeke: kiri āhua waenga
🧑🏾	ira-kūpapa, kiri āhua waenga-parauri, pakeke, pakeke: kiri āhua waenga-parauri
🧑🏿	ira-kūpapa, kiri āhua parauri, pakeke, pakeke: kiri āhua parauri
👱	mākekehu, tangata mākekehu
👱🏻	kiri āhua māmā, mākekehu, tangata mākekehu, tangata mākekehu: kiri āhua māmā
👱🏼	kiri āhua māmā-waenga, mākekehu, tangata mākekehu, tangata mākekehu: kiri āhua māmā-waenga
👱🏽	kiri āhua waenga, mākekehu, tangata mākekehu, tangata mākekehu: kiri āhua waenga
👱🏾	kiri āhua waenga-parauri, mākekehu, tangata mākekehu, tangata mākekehu: kiri āhua waenga-parauri
👱🏿	kiri āhua parauri, mākekehu, tangata mākekehu, tangata mākekehu: kiri āhua parauri
🧑🏻‍❤‍💋‍🧑🏼	kihi, kihi: pakeke, pakeke, kiri āhua māmā, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā-waenga, pakeke, tokorua
🧑🏻‍❤‍💋‍🧑🏽	kihi, kihi: pakeke, pakeke, kiri āhua māmā, kiri āhua waenga, kiri āhua māmā, kiri āhua waenga, pakeke, tokorua
🧑🏻‍❤‍💋‍🧑🏾	kihi, kihi: pakeke, pakeke, kiri āhua māmā, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏻‍❤‍💋‍🧑🏿	kihi, kihi: pakeke, pakeke, kiri āhua māmā, kiri āhua parauri, kiri āhua māmā, kiri āhua parauri, pakeke, tokorua
🧑🏼‍❤‍💋‍🧑🏻	kihi, kihi: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua māmā-waenga, pakeke, tokorua
🧑🏼‍❤‍💋‍🧑🏽	kihi, kihi: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua waenga, pakeke, tokorua
🧑🏼‍❤‍💋‍🧑🏾	kihi, kihi: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏼‍❤‍💋‍🧑🏿	kihi, kihi: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua parauri, pakeke, tokorua
🧑🏽‍❤‍💋‍🧑🏻	kihi, kihi: pakeke, pakeke, kiri āhua waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga, pakeke, tokorua
🧑🏽‍❤‍💋‍🧑🏼	kihi, kihi: pakeke, pakeke, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga, pakeke, tokorua
🧑🏽‍❤‍💋‍🧑🏾	kihi, kihi: pakeke, pakeke, kiri āhua waenga, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏽‍❤‍💋‍🧑🏿	kihi, kihi: pakeke, pakeke, kiri āhua waenga, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga, pakeke, tokorua
🧑🏾‍❤‍💋‍🧑🏻	kihi, kihi: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏾‍❤‍💋‍🧑🏼	kihi, kihi: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏾‍❤‍💋‍🧑🏽	kihi, kihi: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏾‍❤‍💋‍🧑🏿	kihi, kihi: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏿‍❤‍💋‍🧑🏻	kihi, kihi: pakeke, pakeke, kiri āhua parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua parauri, pakeke, tokorua
🧑🏿‍❤‍💋‍🧑🏼	kihi, kihi: pakeke, pakeke, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua parauri, pakeke, tokorua
🧑🏿‍❤‍💋‍🧑🏽	kihi, kihi: pakeke, pakeke, kiri āhua parauri, kiri āhua waenga, kiri āhua parauri, kiri āhua waenga, pakeke, tokorua
🧑🏿‍❤‍💋‍🧑🏾	kihi, kihi: pakeke, pakeke, kiri āhua parauri, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua waenga-parauri, pakeke, tokorua
🧑🏻‍❤‍🧑🏼	aroha, kiri āhua māmā, kiri āhua māmā-waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua māmā-waenga
🧑🏻‍❤‍🧑🏽	aroha, kiri āhua māmā, kiri āhua waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua waenga
🧑🏻‍❤‍🧑🏾	aroha, kiri āhua māmā, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua waenga-parauri
🧑🏻‍❤‍🧑🏿	aroha, kiri āhua māmā, kiri āhua parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā, kiri āhua parauri
🧑🏼‍❤‍🧑🏻	aroha, kiri āhua māmā, kiri āhua māmā-waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua māmā
🧑🏼‍❤‍🧑🏽	aroha, kiri āhua māmā-waenga, kiri āhua waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua waenga
🧑🏼‍❤‍🧑🏾	aroha, kiri āhua māmā-waenga, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua waenga-parauri
🧑🏼‍❤‍🧑🏿	aroha, kiri āhua māmā-waenga, kiri āhua parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua māmā-waenga, kiri āhua parauri
🧑🏽‍❤‍🧑🏻	aroha, kiri āhua māmā, kiri āhua waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua māmā
🧑🏽‍❤‍🧑🏼	aroha, kiri āhua māmā-waenga, kiri āhua waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua māmā-waenga
🧑🏽‍❤‍🧑🏾	aroha, kiri āhua waenga, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua waenga-parauri
🧑🏽‍❤‍🧑🏿	aroha, kiri āhua parauri, kiri āhua waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga, kiri āhua parauri
🧑🏾‍❤‍🧑🏻	aroha, kiri āhua māmā, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua māmā
🧑🏾‍❤‍🧑🏼	aroha, kiri āhua māmā-waenga, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua māmā-waenga
🧑🏾‍❤‍🧑🏽	aroha, kiri āhua waenga, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua waenga
🧑🏾‍❤‍🧑🏿	aroha, kiri āhua parauri, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua waenga-parauri, kiri āhua parauri
🧑🏿‍❤‍🧑🏻	aroha, kiri āhua māmā, kiri āhua parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua māmā
🧑🏿‍❤‍🧑🏼	aroha, kiri āhua māmā-waenga, kiri āhua parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua māmā-waenga
🧑🏿‍❤‍🧑🏽	aroha, kiri āhua parauri, kiri āhua waenga, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua waenga
🧑🏿‍❤‍🧑🏾	aroha, kiri āhua parauri, kiri āhua waenga-parauri, pakeke, tokorua, tokorua me te manawa, tokorua me te manawa: pakeke, pakeke, kiri āhua parauri, kiri āhua waenga-parauri
👨	tāne
👨🏻	kiri āhua māmā, tāne, tāne: kiri āhua māmā
👨🏼	kiri āhua māmā-waenga, tāne, tāne: kiri āhua māmā-waenga
👨🏽	kiri āhua waenga, tāne, tāne: kiri āhua waenga
👨🏾	kiri āhua waenga-parauri, tāne, tāne: kiri āhua waenga-parauri
👨🏿	kiri āhua parauri, tāne, tāne: kiri āhua parauri
🧔	pāhau, tangata pāhau
🧔🏻	kiri āhua māmā, pāhau, tangata pāhau, tangata pāhau: kiri āhua māmā
🧔🏼	kiri āhua māmā-waenga, pāhau, tangata pāhau, tangata pāhau: kiri āhua māmā-waenga
🧔🏽	kiri āhua waenga, pāhau, tangata pāhau, tangata pāhau: kiri āhua waenga
🧔🏾	kiri āhua waenga-parauri, pāhau, tangata pāhau, tangata pāhau: kiri āhua waenga-parauri
🧔🏿	kiri āhua parauri, pāhau, tangata pāhau, tangata pāhau: kiri āhua parauri
👱‍♂	mākekehu, tāne, tāne mākekehu
👱🏻‍♂	kiri āhua māmā, mākekehu, tāne, tāne mākekehu: kiri āhua māmā
👱🏼‍♂	kiri āhua māmā-waenga, mākekehu, tāne, tāne mākekehu: kiri āhua māmā-waenga
👱🏽‍♂	kiri āhua waenga, mākekehu, tāne, tāne mākekehu: kiri āhua waenga
👱🏾‍♂	kiri āhua waenga-parauri, mākekehu, tāne, tāne mākekehu: kiri āhua waenga-parauri
👱🏿‍♂	kiri āhua parauri, mākekehu, tāne, tāne mākekehu: kiri āhua parauri
👨🏻‍❤‍💋‍👨🏻	kihi, kihi: tāne, tāne, kiri āhua māmā, kiri āhua māmā, tokorua, tāne
👨🏻‍❤‍💋‍👨🏼	kihi, kihi: tāne, tāne, kiri āhua māmā, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tāne
👨🏻‍❤‍💋‍👨🏽	kihi, kihi: tāne, tāne, kiri āhua māmā, kiri āhua waenga, kiri āhua māmā, kiri āhua waenga, tokorua, tāne
👨🏻‍❤‍💋‍👨🏾	kihi, kihi: tāne, tāne, kiri āhua māmā, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tāne
👨🏻‍❤‍💋‍👨🏿	kihi, kihi: tāne, tāne, kiri āhua māmā, kiri āhua parauri, kiri āhua māmā, kiri āhua parauri, tokorua, tāne
👨🏼‍❤‍💋‍👨🏻	kihi, kihi: tāne, tāne, kiri āhua māmā-waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua māmā-waenga, tokorua, tāne
👨🏼‍❤‍💋‍👨🏼	kihi, kihi: tāne, tāne, kiri āhua māmā-waenga, kiri āhua māmā-waenga, tokorua, tāne
👨🏼‍❤‍💋‍👨🏽	kihi, kihi: tāne, tāne, kiri āhua māmā-waenga, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tāne
👨🏼‍❤‍💋‍👨🏾	kihi, kihi: tāne, tāne, kiri āhua māmā-waenga, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tāne
👨🏼‍❤‍💋‍👨🏿	kihi, kihi: tāne, tāne, kiri āhua māmā-waenga, kiri āhua parauri, kiri āhua māmā-waenga, kiri āhua parauri, tokorua, tāne
👨🏽‍❤‍💋‍👨🏻	kihi, kihi: tāne, tāne, kiri āhua waenga, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga, tokorua, tāne
👨🏽‍❤‍💋‍👨🏼	kihi, kihi: tāne, tāne, kiri āhua waenga, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga, tokorua, tāne
👨🏽‍❤‍💋‍👨🏽	kihi, kihi: tāne, tāne, kiri āhua waenga, kiri āhua waenga, tokorua, tāne
👨🏽‍❤‍💋‍👨🏾	kihi, kihi: tāne, tāne, kiri āhua waenga, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tāne
👨🏽‍❤‍💋‍👨🏿	kihi, kihi: tāne, tāne, kiri āhua waenga, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga, tokorua, tāne
👨🏾‍❤‍💋‍👨🏻	kihi, kihi: tāne, tāne, kiri āhua waenga-parauri, kiri āhua māmā, kiri āhua māmā, kiri āhua waenga-parauri, tokorua, tāne
👨🏾‍❤‍💋‍👨🏼	kihi, kihi: tāne, tāne, kiri āhua waenga-parauri, kiri āhua māmā-waenga, kiri āhua māmā-waenga, kiri āhua waenga-parauri, tokorua, tāne
👨🏾‍❤‍💋‍👨🏽	kihi, kihi: tāne, tāne, kiri āhua waenga-parauri, kiri āhua waenga, kiri āhua waenga, kiri āhua waenga-parauri, tokorua, tāne
👨🏾‍❤‍💋‍👨🏾	kihi, kihi: tāne, tāne, kiri āhua waenga-parauri, kiri āhua waenga-parauri, tokorua, tāne
👨🏾‍❤‍💋‍👨🏿	kihi, kihi: tāne, tāne, kiri āhua waenga-parauri, kiri āhua parauri, kiri āhua parauri, kiri āhua waenga-parauri, tokorua, tāne
