‾	apɔju
👈🏿	adúláwɔ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Osi: adúláwɔ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👉️	ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👉🏻	amɔ́lára, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun: amɔ́lára, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👉🏼	amɔ́lára díɛ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun: amɔ́lára díɛ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👉🏽	amɔ́láwɔ̀ díɛ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun: amɔ́láwɔ̀ díɛ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👉🏾	adúláwɔ̀ díɛ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun: adúláwɔ̀ díɛ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👉🏿	adúláwɔ̀, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun, Ɛyin Ɔwɔ Ti O Tɔka Si Apa Ɔtun: adúláwɔ̀, ɔwɔ́, ɔ̀gángán, ɛ̀yìn ɔwɔ́
👆️	sókè, tɔ́ka, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Oke, ɔwɔ́, ɛ̀yìn ɔwɔ́
👆🏻	amɔ́lára, sókè, tɔ́ka, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Oke, Ɛyin Ɔwɔ Ti O Tɔka Si Oke: amɔ́lára, ɔwɔ́, ɛ̀yìn ɔwɔ́
👆🏼	amɔ́lára díɛ̀, sókè, tɔ́ka, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Oke, Ɛyin Ɔwɔ Ti O Tɔka Si Oke: amɔ́lára díɛ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
👆🏽	amɔ́láwɔ̀ díɛ̀, sókè, tɔ́ka, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Oke, Ɛyin Ɔwɔ Ti O Tɔka Si Oke: amɔ́láwɔ̀ díɛ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
👆🏾	adúláwɔ̀ díɛ̀, sókè, tɔ́ka, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Oke, Ɛyin Ɔwɔ Ti O Tɔka Si Oke: adúláwɔ̀ díɛ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
👆🏿	adúláwɔ̀, sókè, tɔ́ka, ìka, ìka kékeré, Ɛyin Ɔwɔ Ti O Tɔka Si Oke, Ɛyin Ɔwɔ Ti O Tɔka Si Oke: adúláwɔ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
🖕	ìka, ìka àárín, ɔwɔ́
🖕🏻	amɔ́lára, ìka, ìka àárín, ìka àárín: amɔ́lára, ɔwɔ́
🖕🏼	amɔ́lára díɛ̀, ìka, ìka àárín, ìka àárín: amɔ́lára díɛ̀, ɔwɔ́
🖕🏽	amɔ́láwɔ̀ díɛ̀, ìka, ìka àárín, ìka àárín: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
🖕🏾	adúláwɔ̀ díɛ̀, ìka, ìka àárín, ìka àárín: adúláwɔ̀ díɛ̀, ɔwɔ́
🖕🏿	adúláwɔ̀, ìka, ìka àárín, ìka àárín: adúláwɔ̀, ɔwɔ́
👇️	tɔ́ka, ìka, ìka kékeré, ìsàlɛ̀, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ, ɔwɔ́, ɛ̀yìn ɔwɔ́
👇🏻	amɔ́lára, tɔ́ka, ìka, ìka kékeré, ìsàlɛ̀, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ: amɔ́lára, ɔwɔ́, ɛ̀yìn ɔwɔ́
👇🏼	amɔ́lára díɛ̀, tɔ́ka, ìka, ìka kékeré, ìsàlɛ̀, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ: amɔ́lára díɛ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
👇🏽	amɔ́láwɔ̀ díɛ̀, tɔ́ka, ìka, ìka kékeré, ìsàlɛ̀, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ: amɔ́láwɔ̀ díɛ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
👇🏾	adúláwɔ̀ díɛ̀, tɔ́ka, ìka, ìka kékeré, ìsàlɛ̀, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ: adúláwɔ̀ díɛ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
👇🏿	adúláwɔ̀, tɔ́ka, ìka, ìka kékeré, ìsàlɛ̀, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ, Ɛyin Ɔwɔ Ti O Tɔka Si Isalɛ: adúláwɔ̀, ɔwɔ́, ɛ̀yìn ɔwɔ́
☝️	sókè, tɔ́ka, ìka, ìka kékeré, ìka kékeré tí ń tɔ́ka sókè, ɔwɔ́
☝🏻	amɔ́lára, sókè, tɔ́ka, ìka, ìka kékeré, ìka kékeré tí ń tɔ́ka sókè, ìka kékeré tí ń tɔ́ka sókè: amɔ́lára, ɔwɔ́
☝🏼	amɔ́lára díɛ̀, sókè, tɔ́ka, ìka, ìka kékeré, ìka kékeré tí ń tɔ́ka sókè, ìka kékeré tí ń tɔ́ka sókè: amɔ́lára díɛ̀, ɔwɔ́
☝🏽	amɔ́láwɔ̀ díɛ̀, sókè, tɔ́ka, ìka, ìka kékeré, ìka kékeré tí ń tɔ́ka sókè, ìka kékeré tí ń tɔ́ka sókè: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
☝🏾	adúláwɔ̀ díɛ̀, sókè, tɔ́ka, ìka, ìka kékeré, ìka kékeré tí ń tɔ́ka sókè, ìka kékeré tí ń tɔ́ka sókè: adúláwɔ̀ díɛ̀, ɔwɔ́
☝🏿	adúláwɔ̀, sókè, tɔ́ka, ìka, ìka kékeré, ìka kékeré tí ń tɔ́ka sókè, ìka kékeré tí ń tɔ́ka sókè: adúláwɔ̀, ɔwɔ́
👍️	+1, Atanpako Loke, àtànpàkò, òkè, ɔwɔ́
👍🏻	+1, Atanpako Loke, Atanpako Loke: amɔ́lára, amɔ́lára, àtànpàkò, òkè, ɔwɔ́
👍🏼	+1, Atanpako Loke, Atanpako Loke: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àtànpàkò, òkè, ɔwɔ́
👍🏽	+1, Atanpako Loke, Atanpako Loke: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àtànpàkò, òkè, ɔwɔ́
👍🏾	+1, Atanpako Loke, Atanpako Loke: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àtànpàkò, òkè, ɔwɔ́
👍🏿	+1, Atanpako Loke, Atanpako Loke: adúláwɔ̀, adúláwɔ̀, àtànpàkò, òkè, ɔwɔ́
👎️	-1, Atanpako Nisalɛ, àtànpàkò, ìsàlɛ̀, ɔwɔ́
👎🏻	-1, Atanpako Nisalɛ, Atanpako Nisalɛ: amɔ́lára, amɔ́lára, àtànpàkò, ìsàlɛ̀, ɔwɔ́
👎🏼	-1, Atanpako Nisalɛ, Atanpako Nisalɛ: amɔ́lára díɛ̀, amɔ́lára díɛ̀, àtànpàkò, ìsàlɛ̀, ɔwɔ́
👎🏽	-1, Atanpako Nisalɛ, Atanpako Nisalɛ: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, àtànpàkò, ìsàlɛ̀, ɔwɔ́
👎🏾	-1, Atanpako Nisalɛ, Atanpako Nisalɛ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, àtànpàkò, ìsàlɛ̀, ɔwɔ́
👎🏿	-1, Atanpako Nisalɛ, Atanpako Nisalɛ: adúláwɔ̀, adúláwɔ̀, àtànpàkò, ìsàlɛ̀, ɔwɔ́
✊	Nashɛ Soke, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́
✊🏻	Nashɛ Soke, Nashɛ Soke: amɔ́lára, amɔ́lára, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́
✊🏼	Nashɛ Soke, Nashɛ Soke: amɔ́lára díɛ̀, amɔ́lára díɛ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́
✊🏽	Nashɛ Soke, Nashɛ Soke: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́
✊🏾	Nashɛ Soke, Nashɛ Soke: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́
✊🏿	Nashɛ Soke, Nashɛ Soke: adúláwɔ̀, adúláwɔ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́
👊	fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́, Ɛshɛ Ti o Nbɔ
👊🏻	amɔ́lára, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́, Ɛshɛ Ti o Nbɔ, Ɛshɛ Ti o Nbɔ: amɔ́lára
👊🏼	amɔ́lára díɛ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́, Ɛshɛ Ti o Nbɔ, Ɛshɛ Ti o Nbɔ: amɔ́lára díɛ̀
👊🏽	amɔ́láwɔ̀ díɛ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́, Ɛshɛ Ti o Nbɔ, Ɛshɛ Ti o Nbɔ: amɔ́láwɔ̀ díɛ̀
👊🏾	adúláwɔ̀ díɛ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́, Ɛshɛ Ti o Nbɔ, Ɛshɛ Ti o Nbɔ: adúláwɔ̀ díɛ̀
👊🏿	adúláwɔ̀, fún ɔwɔ́ pɔ̀, ìshɛ́, òwɔ́ ɛ̀shɛ́, Ɛshɛ Ti o Nbɔ, Ɛshɛ Ti o Nbɔ: adúláwɔ̀
🤛	apá ɔ̀sì, Ɛsɛ ti O Kɔju sosi, ɛ̀shɛ́
🤛🏻	amɔ́lára, apá ɔ̀sì, Ɛsɛ ti O Kɔju sosi, Ɛsɛ ti O Kɔju sosi: amɔ́lára, ɛ̀shɛ́
🤛🏼	amɔ́lára díɛ̀, apá ɔ̀sì, Ɛsɛ ti O Kɔju sosi, Ɛsɛ ti O Kɔju sosi: amɔ́lára díɛ̀, ɛ̀shɛ́
🤛🏽	amɔ́láwɔ̀ díɛ̀, apá ɔ̀sì, Ɛsɛ ti O Kɔju sosi, Ɛsɛ ti O Kɔju sosi: amɔ́láwɔ̀ díɛ̀, ɛ̀shɛ́
🤛🏾	adúláwɔ̀ díɛ̀, apá ɔ̀sì, Ɛsɛ ti O Kɔju sosi, Ɛsɛ ti O Kɔju sosi: adúláwɔ̀ díɛ̀, ɛ̀shɛ́
🤛🏿	adúláwɔ̀, apá ɔ̀sì, Ɛsɛ ti O Kɔju sosi, Ɛsɛ ti O Kɔju sosi: adúláwɔ̀, ɛ̀shɛ́
🤜	apá ɔ̀tún, Ɛsɛ ti O Kɔju sɔtun, ɛ̀shɛ́
🤜🏻	amɔ́lára, apá ɔ̀tún, Ɛsɛ ti O Kɔju sɔtun, Ɛsɛ ti O Kɔju sɔtun: amɔ́lára, ɛ̀shɛ́
🤜🏼	amɔ́lára díɛ̀, apá ɔ̀tún, Ɛsɛ ti O Kɔju sɔtun, Ɛsɛ ti O Kɔju sɔtun: amɔ́lára díɛ̀, ɛ̀shɛ́
🤜🏽	amɔ́láwɔ̀ díɛ̀, apá ɔ̀tún, Ɛsɛ ti O Kɔju sɔtun, Ɛsɛ ti O Kɔju sɔtun: amɔ́láwɔ̀ díɛ̀, ɛ̀shɛ́
🤜🏾	adúláwɔ̀ díɛ̀, apá ɔ̀tún, Ɛsɛ ti O Kɔju sɔtun, Ɛsɛ ti O Kɔju sɔtun: adúláwɔ̀ díɛ̀, ɛ̀shɛ́
🤜🏿	adúláwɔ̀, apá ɔ̀tún, Ɛsɛ ti O Kɔju sɔtun, Ɛsɛ ti O Kɔju sɔtun: adúláwɔ̀, ɛ̀shɛ́
👏	N Patɛwɔ, pàtɛ́wɔ́, ɔwɔ́
👏🏻	N Patɛwɔ, N Patɛwɔ: amɔ́lára, amɔ́lára, pàtɛ́wɔ́, ɔwɔ́
👏🏼	N Patɛwɔ, N Patɛwɔ: amɔ́lára díɛ̀, amɔ́lára díɛ̀, pàtɛ́wɔ́, ɔwɔ́
👏🏽	N Patɛwɔ, N Patɛwɔ: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, pàtɛ́wɔ́, ɔwɔ́
👏🏾	N Patɛwɔ, N Patɛwɔ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, pàtɛ́wɔ́, ɔwɔ́
👏🏿	N Patɛwɔ, N Patɛwɔ: adúláwɔ̀, adúláwɔ̀, pàtɛ́wɔ́, ɔwɔ́
🙌	Ina Awɔn Ɔwɔ, ayɛyɛ, fɔwɔ́júwè, hooray, nawɔ́, ɔwɔ́
🙌🏻	Ina Awɔn Ɔwɔ, Ina Awɔn Ɔwɔ: amɔ́lára, amɔ́lára, ayɛyɛ, fɔwɔ́júwè, hooray, nawɔ́, ɔwɔ́
🙌🏼	Ina Awɔn Ɔwɔ, Ina Awɔn Ɔwɔ: amɔ́lára díɛ̀, amɔ́lára díɛ̀, ayɛyɛ, fɔwɔ́júwè, hooray, nawɔ́, ɔwɔ́
🙌🏽	Ina Awɔn Ɔwɔ, Ina Awɔn Ɔwɔ: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ayɛyɛ, fɔwɔ́júwè, hooray, nawɔ́, ɔwɔ́
🙌🏾	Ina Awɔn Ɔwɔ, Ina Awɔn Ɔwɔ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ayɛyɛ, fɔwɔ́júwè, hooray, nawɔ́, ɔwɔ́
🙌🏿	Ina Awɔn Ɔwɔ, Ina Awɔn Ɔwɔ: adúláwɔ̀, adúláwɔ̀, ayɛyɛ, fɔwɔ́júwè, hooray, nawɔ́, ɔwɔ́
👐	Awɔn Ɔwɔ Shishi, shí, ɔwɔ́
👐🏻	Awɔn Ɔwɔ Shishi, Awɔn Ɔwɔ Shishi: amɔ́lára, amɔ́lára, shí, ɔwɔ́
👐🏼	Awɔn Ɔwɔ Shishi, Awɔn Ɔwɔ Shishi: amɔ́lára díɛ̀, amɔ́lára díɛ̀, shí, ɔwɔ́
👐🏽	Awɔn Ɔwɔ Shishi, Awɔn Ɔwɔ Shishi: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, shí, ɔwɔ́
👐🏾	Awɔn Ɔwɔ Shishi, Awɔn Ɔwɔ Shishi: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, shí, ɔwɔ́
👐🏿	Awɔn Ɔwɔ Shishi, Awɔn Ɔwɔ Shishi: adúláwɔ̀, adúláwɔ̀, shí, ɔwɔ́
🤲	àdúrà, àtɛ́lɛ́ɔwɔ́ papɔ̀
🤲🏻	amɔ́lára, àdúrà, àtɛ́lɛ́ɔwɔ́ papɔ̀, àtɛ́lɛ́ɔwɔ́ papɔ̀: amɔ́lára
🤲🏼	amɔ́lára díɛ̀, àdúrà, àtɛ́lɛ́ɔwɔ́ papɔ̀, àtɛ́lɛ́ɔwɔ́ papɔ̀: amɔ́lára díɛ̀
🤲🏽	amɔ́láwɔ̀ díɛ̀, àdúrà, àtɛ́lɛ́ɔwɔ́ papɔ̀, àtɛ́lɛ́ɔwɔ́ papɔ̀: amɔ́láwɔ̀ díɛ̀
🤲🏾	adúláwɔ̀ díɛ̀, àdúrà, àtɛ́lɛ́ɔwɔ́ papɔ̀, àtɛ́lɛ́ɔwɔ́ papɔ̀: adúláwɔ̀ díɛ̀
🤲🏿	adúláwɔ̀, àdúrà, àtɛ́lɛ́ɔwɔ́ papɔ̀, àtɛ́lɛ́ɔwɔ́ papɔ̀: adúláwɔ̀
🤝	gbɔn, Ìbɔwɔ́, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🤝🏻	amɔ́lára, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🤝🏼	amɔ́lára díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́lára díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🤝🏽	amɔ́láwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: amɔ́láwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🤝🏾	adúláwɔ̀ díɛ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀ díɛ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🤝🏿	adúláwɔ̀, gbɔn, Ìbɔwɔ́, Ìbɔwɔ́: adúláwɔ̀, ìbɔwɔ́, ìfaramɔ́, ìpàdé, ɔwɔ
🙏	Ika Awɔn Ɔwɔ, adúpé, bèrè, fɔwɔ́júwè, gbèdúrà, jɔ̀wɔ́, kákò, tɛríba, ɔwɔ́
🙏🏻	Ika Awɔn Ɔwɔ, Ika Awɔn Ɔwɔ: amɔ́lára, adúpé, amɔ́lára, bèrè, fɔwɔ́júwè, gbèdúrà, jɔ̀wɔ́, kákò, tɛríba, ɔwɔ́
🙏🏼	Ika Awɔn Ɔwɔ, Ika Awɔn Ɔwɔ: amɔ́lára díɛ̀, adúpé, amɔ́lára díɛ̀, bèrè, fɔwɔ́júwè, gbèdúrà, jɔ̀wɔ́, kákò, tɛríba, ɔwɔ́
🙏🏽	Ika Awɔn Ɔwɔ, Ika Awɔn Ɔwɔ: amɔ́láwɔ̀ díɛ̀, adúpé, amɔ́láwɔ̀ díɛ̀, bèrè, fɔwɔ́júwè, gbèdúrà, jɔ̀wɔ́, kákò, tɛríba, ɔwɔ́
🙏🏾	Ika Awɔn Ɔwɔ, Ika Awɔn Ɔwɔ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, adúpé, bèrè, fɔwɔ́júwè, gbèdúrà, jɔ̀wɔ́, kákò, tɛríba, ɔwɔ́
🙏🏿	Ika Awɔn Ɔwɔ, Ika Awɔn Ɔwɔ: adúláwɔ̀, adúláwɔ̀, adúpé, bèrè, fɔwɔ́júwè, gbèdúrà, jɔ̀wɔ́, kákò, tɛríba, ɔwɔ́
✍️	kɔ̀wé, ńkɔ́wé, ɔwɔ́
✍🏻	amɔ́lára, kɔ̀wé, ńkɔ́wé, ńkɔ́wé: amɔ́lára, ɔwɔ́
✍🏼	amɔ́lára díɛ̀, kɔ̀wé, ńkɔ́wé, ńkɔ́wé: amɔ́lára díɛ̀, ɔwɔ́
✍🏽	amɔ́láwɔ̀ díɛ̀, kɔ̀wé, ńkɔ́wé, ńkɔ́wé: amɔ́láwɔ̀ díɛ̀, ɔwɔ́
✍🏾	adúláwɔ̀ díɛ̀, kɔ̀wé, ńkɔ́wé, ńkɔ́wé: adúláwɔ̀ díɛ̀, ɔwɔ́
✍🏿	adúláwɔ̀, kɔ̀wé, ńkɔ́wé, ńkɔ́wé: adúláwɔ̀, ɔwɔ́
💅	Ikun Eekanna, asharalóge, kíkùn, àkun ojú, èékánná, ìtɔ́jú
💅🏻	Ikun Eekanna, Ikun Eekanna: amɔ́lára, amɔ́lára, asharalóge, kíkùn, àkun ojú, èékánná, ìtɔ́jú
💅🏼	Ikun Eekanna, Ikun Eekanna: amɔ́lára díɛ̀, amɔ́lára díɛ̀, asharalóge, kíkùn, àkun ojú, èékánná, ìtɔ́jú
💅🏽	Ikun Eekanna, Ikun Eekanna: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, asharalóge, kíkùn, àkun ojú, èékánná, ìtɔ́jú
💅🏾	Ikun Eekanna, Ikun Eekanna: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, asharalóge, kíkùn, àkun ojú, èékánná, ìtɔ́jú
💅🏿	Ikun Eekanna, Ikun Eekanna: adúláwɔ̀, adúláwɔ̀, asharalóge, kíkùn, àkun ojú, èékánná, ìtɔ́jú
🤳	Yiya Ara ɛni, fóònù, fɔ́tò àdáyà, kámɛ́rà
🤳🏻	Yiya Ara ɛni, Yiya Ara ɛni: amɔ́lára, amɔ́lára, fóònù, fɔ́tò àdáyà, kámɛ́rà
🤳🏼	Yiya Ara ɛni, Yiya Ara ɛni: amɔ́lára díɛ̀, amɔ́lára díɛ̀, fóònù, fɔ́tò àdáyà, kámɛ́rà
🤳🏽	Yiya Ara ɛni, Yiya Ara ɛni: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, fóònù, fɔ́tò àdáyà, kámɛ́rà
🤳🏾	Yiya Ara ɛni, Yiya Ara ɛni: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, fóònù, fɔ́tò àdáyà, kámɛ́rà
🤳🏿	Yiya Ara ɛni, Yiya Ara ɛni: adúláwɔ̀, adúláwɔ̀, fóònù, fɔ́tò àdáyà, kámɛ́rà
💪	Aya Fifɛ, egun ɔwɔ́, ishan, nà, àwàdà
💪🏻	Aya Fifɛ, Aya Fifɛ: amɔ́lára, amɔ́lára, egun ɔwɔ́, ishan, nà, àwàdà
💪🏼	Aya Fifɛ, Aya Fifɛ: amɔ́lára díɛ̀, amɔ́lára díɛ̀, egun ɔwɔ́, ishan, nà, àwàdà
💪🏽	Aya Fifɛ, Aya Fifɛ: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, egun ɔwɔ́, ishan, nà, àwàdà
💪🏾	Aya Fifɛ, Aya Fifɛ: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, egun ɔwɔ́, ishan, nà, àwàdà
💪🏿	Aya Fifɛ, Aya Fifɛ: adúláwɔ̀, adúláwɔ̀, egun ɔwɔ́, ishan, nà, àwàdà
👂🏻	Ara, Etí, Etí: amɔ́lára, amɔ́lára
👂🏼	Ara, Etí, Etí: amɔ́lára díɛ̀, amɔ́lára díɛ̀
👂🏽	Ara, Etí, Etí: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀
👂🏾	Ara, Etí, Etí: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀
👂🏿	Ara, Etí, Etí: adúláwɔ̀, adúláwɔ̀
👃🏻	Ara, Imu, Imu: amɔ́lára, amɔ́lára
👃🏼	Ara, Imu, Imu: amɔ́lára díɛ̀, amɔ́lára díɛ̀
👃🏽	Ara, Imu, Imu: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀
👃🏾	Ara, Imu, Imu: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀
👃🏿	Ara, Imu, Imu: adúláwɔ̀, adúláwɔ̀
🧠	ɔmɔwé, ɔpɔlɔ
👀	Awɔn Ojú, eyinjú, ojú
👅	Ahɔn, Ara
👄	ètè, Ɛnu
👶	ìkókó, ɔ̀dɔ́
👶🏻	amɔ́lára, ìkókó, ìkókó: amɔ́lára, ɔ̀dɔ́
👶🏼	amɔ́lára díɛ̀, ìkókó, ìkókó: amɔ́lára díɛ̀, ɔ̀dɔ́
👶🏽	amɔ́láwɔ̀ díɛ̀, ìkókó, ìkókó: amɔ́láwɔ̀ díɛ̀, ɔ̀dɔ́
👶🏾	adúláwɔ̀ díɛ̀, ìkókó, ìkókó: adúláwɔ̀ díɛ̀, ɔ̀dɔ́
👶🏿	adúláwɔ̀, ìkókó, ìkókó: adúláwɔ̀, ɔ̀dɔ́
🧒	gé̩ndà-shekushɛyɛ, màjèsín, ɔmɔ
🧒🏻	amɔ́lára, gé̩ndà-shekushɛyɛ, màjèsín, ɔmɔ, ɔmɔ: amɔ́lára
🧒🏼	amɔ́lára díɛ̀, gé̩ndà-shekushɛyɛ, màjèsín, ɔmɔ, ɔmɔ: amɔ́lára díɛ̀
🧒🏽	amɔ́láwɔ̀ díɛ̀, gé̩ndà-shekushɛyɛ, màjèsín, ɔmɔ, ɔmɔ: amɔ́láwɔ̀ díɛ̀
🧒🏾	adúláwɔ̀ díɛ̀, gé̩ndà-shekushɛyɛ, màjèsín, ɔmɔ, ɔmɔ: adúláwɔ̀ díɛ̀
🧒🏿	adúláwɔ̀, gé̩ndà-shekushɛyɛ, màjèsín, ɔmɔ, ɔmɔ: adúláwɔ̀
👦	ɔmɔkùnrin, ɔ̀dɔ́
👦🏻	amɔ́lára, ɔmɔkùnrin, ɔmɔkùnrin: amɔ́lára, ɔ̀dɔ́
👦🏼	amɔ́lára díɛ̀, ɔmɔkùnrin, ɔmɔkùnrin: amɔ́lára díɛ̀, ɔ̀dɔ́
👦🏽	amɔ́láwɔ̀ díɛ̀, ɔmɔkùnrin, ɔmɔkùnrin: amɔ́láwɔ̀ díɛ̀, ɔ̀dɔ́
👦🏾	adúláwɔ̀ díɛ̀, ɔmɔkùnrin, ɔmɔkùnrin: adúláwɔ̀ díɛ̀, ɔ̀dɔ́
👦🏿	adúláwɔ̀, ɔmɔkùnrin, ɔmɔkùnrin: adúláwɔ̀, ɔ̀dɔ́
👧	Virgo, àmi oshù ìbí, ɔmɔbìrin, ɔ̀dɔ́
👧🏻	Virgo, amɔ́lára, àmi oshù ìbí, ɔmɔbìrin, ɔmɔbìrin: amɔ́lára, ɔ̀dɔ́
👧🏼	Virgo, amɔ́lára díɛ̀, àmi oshù ìbí, ɔmɔbìrin, ɔmɔbìrin: amɔ́lára díɛ̀, ɔ̀dɔ́
👧🏽	Virgo, amɔ́láwɔ̀ díɛ̀, àmi oshù ìbí, ɔmɔbìrin, ɔmɔbìrin: amɔ́láwɔ̀ díɛ̀, ɔ̀dɔ́
👧🏾	Virgo, adúláwɔ̀ díɛ̀, àmi oshù ìbí, ɔmɔbìrin, ɔmɔbìrin: adúláwɔ̀ díɛ̀, ɔ̀dɔ́
👧🏿	Virgo, adúláwɔ̀, àmi oshù ìbí, ɔmɔbìrin, ɔmɔbìrin: adúláwɔ̀, ɔ̀dɔ́
🧑	gé̩ndà-shekushɛyɛ, àgbà
